Run-time: 0.953249454498291 seconds
Total allocated memory size: 83.4 KiB
Algorithm: PSO-GRAANK (v2.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Velocity coeff.: 0.5
C1 coeff.: 0.1
C2 coeff.: 0.9
No. of particles: 5
Minimum support: 0.5
Number of cores: 4
Number of patterns: 3
Number of iterations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: ../data/hcv_data.csv

Pattern : Support
['0+', '4+'] : 0.509
['0+', '3-'] : 0.504
['0+', '7+'] : 0.547


Iterations 
Iteration: Best Cost
0: 0.0003536067892503536 
1: 0.0003536067892503536 
2: 0.0003536067892503536 
3: 0.0003536067892503536 
4: 0.0003536067892503536 
5: 0.00020238818053025704 
6: 9.237875288683603e-05 
7: 9.237875288683603e-05 
8: 9.237875288683603e-05 
9: 9.237875288683603e-05 
10: 9.237875288683603e-05 
11: 9.237875288683603e-05 
12: 9.237875288683603e-05 
13: 9.237875288683603e-05 
14: 9.237875288683603e-05 
15: 8.890469416785207e-05 
16: 8.890469416785207e-05 
17: 8.890469416785207e-05 
18: 6.46370628918622e-05 
19: 6.46370628918622e-05 
20: 6.46370628918622e-05 
21: 6.46370628918622e-05 
22: 6.46370628918622e-05 
23: 6.46370628918622e-05 
24: 6.46370628918622e-05 
25: 6.46370628918622e-05 
26: 6.46370628918622e-05 
27: 6.46370628918622e-05 
28: 6.46370628918622e-05 
29: 6.46370628918622e-05 
30: 6.46370628918622e-05 
31: 6.46370628918622e-05 
32: 6.46370628918622e-05 
33: 6.46370628918622e-05 
34: 6.46370628918622e-05 
35: 6.46370628918622e-05 
36: 6.46370628918622e-05 
37: 6.46370628918622e-05 
38: 6.46370628918622e-05 
39: 6.46370628918622e-05 
40: 6.46370628918622e-05 
41: 6.46370628918622e-05 
42: 6.46370628918622e-05 
43: 6.46370628918622e-05 
44: 6.46370628918622e-05 
45: 6.46370628918622e-05 
46: 6.46370628918622e-05 
47: 6.46370628918622e-05 
48: 6.46370628918622e-05 
49: 6.46370628918622e-05 
50: 6.46370628918622e-05 
51: 6.46370628918622e-05 
52: 6.46370628918622e-05 
53: 6.46370628918622e-05 
54: 6.46370628918622e-05 
55: 6.46370628918622e-05 
56: 6.46370628918622e-05 
57: 6.46370628918622e-05 
58: 6.46370628918622e-05 
59: 6.46370628918622e-05 
60: 6.46370628918622e-05 
61: 6.46370628918622e-05 
62: 6.46370628918622e-05 
63: 6.46370628918622e-05 
64: 6.46370628918622e-05 
65: 6.46370628918622e-05 
66: 6.46370628918622e-05 
67: 6.46370628918622e-05 
68: 6.46370628918622e-05 
69: 6.46370628918622e-05 
70: 6.46370628918622e-05 
71: 6.46370628918622e-05 
72: 6.46370628918622e-05 
73: 6.46370628918622e-05 
74: 6.46370628918622e-05 
75: 6.46370628918622e-05 
76: 6.46370628918622e-05 
77: 6.46370628918622e-05 
78: 6.46370628918622e-05 
79: 6.46370628918622e-05 
80: 6.46370628918622e-05 
81: 6.46370628918622e-05 
82: 6.46370628918622e-05 
83: 6.46370628918622e-05 
84: 6.46370628918622e-05 
85: 6.46370628918622e-05 
86: 6.46370628918622e-05 
87: 6.46370628918622e-05 
88: 6.46370628918622e-05 
89: 6.46370628918622e-05 
90: 6.46370628918622e-05 
91: 6.46370628918622e-05 
92: 6.46370628918622e-05 
93: 6.46370628918622e-05 
94: 6.46370628918622e-05 
95: 6.46370628918622e-05 
96: 6.46370628918622e-05 
97: 6.46370628918622e-05 
98: 6.46370628918622e-05 
99: 6.46370628918622e-05 
